n,V,resultado,tiempo (backtracking)
1,10,-1,0.13667515
1,20,-1,0.01836145
1,30,1,0.0207841
1,40,-1,0.021828
1,50,-1,0.01795975
1,60,-1,0.0184615
1,70,-1,0.01973535
1,80,-1,0.0180516
1,90,-1,0.0178834
1,100,-1,0.0188073
1,110,-1,0.018029
1,120,-1,0.0196753
1,130,-1,0.01839605
1,140,-1,0.01813035
1,150,-1,0.01875135
1,160,-1,0.02043345
1,170,-1,0.0250254
1,180,-1,0.0179658
1,190,-1,0.04247315
1,200,-1,0.02518835
2,10,2,0.03928995
2,20,-1,0.02328605
2,30,-1,0.0246291
2,40,-1,0.1112017
2,50,-1,0.02378845
2,60,-1,0.02376295
2,70,-1,0.02513025
2,80,-1,0.0256548
2,90,-1,0.02262245
2,100,-1,0.02685345
2,110,-1,0.0235873
2,120,-1,0.0239986
2,130,-1,0.0244005
2,140,-1,0.0227036
2,150,-1,0.02314555
2,160,-1,0.02403915
2,170,-1,0.03733055
2,180,-1,0.02308795
2,190,-1,0.03418245
2,200,-1,0.0384714
3,10,2,0.1316444
3,20,-1,0.0339623
3,30,-1,0.032078
3,40,3,0.03573325
3,50,-1,0.0399918
3,60,-1,0.03212105
3,70,-1,0.03298185
3,80,-1,0.03706755
3,90,-1,0.03296175
3,100,-1,0.0961033
3,110,-1,0.03332375
3,120,-1,0.0327343
3,130,-1,0.03464185
3,140,2,0.3072863
3,150,-1,0.0677985
3,160,-1,0.06849845
3,170,-1,0.03575675
3,180,-1,0.05636275
3,190,-1,0.0340099
3,200,-1,0.03712445
4,10,-1,0.0869258
4,20,-1,0.1008298
4,30,-1,0.10095225
4,40,-1,0.1019446
4,50,-1,0.05509405
4,60,-1,0.0625354
4,70,-1,0.05632465
4,80,-1,0.15402395
4,90,-1,0.06112335
4,100,-1,0.05440215
4,110,-1,0.0552022
4,120,-1,0.12642335
4,130,-1,0.06260155
4,140,-1,0.05466215
4,150,-1,0.06879235
4,160,1,0.06356035
4,170,-1,0.05579075
4,180,-1,0.06093205
4,190,-1,0.0580941
4,200,-1,0.05450165
5,10,2,0.1389659
5,20,2,0.14467795
5,30,-1,0.10300655
5,40,1,0.11885615
5,50,-1,0.10769925
5,60,-1,0.10354665
5,70,4,0.1573205
5,80,-1,0.10553035
5,90,-1,0.13960165
5,100,-1,0.1037597
5,110,-1,0.2527498
5,120,-1,0.24159835
5,130,3,0.1198201
5,140,-1,0.24783785
5,150,-1,0.1496593
5,160,-1,0.1944582
5,170,2,0.1214906
5,180,-1,0.15086375
5,190,-1,0.1920245
5,200,-1,0.1091842
6,10,2,0.2213517
6,20,3,0.2733194
6,30,-1,0.2456158
6,40,-1,0.29526345
6,50,5,0.25908675
6,60,2,0.52959635
6,70,-1,0.31391745
6,80,-1,0.35274325
6,90,1,0.3007368
6,100,-1,0.23307065
6,110,2,0.594538
6,120,-1,0.24213765
6,130,3,0.3900517
6,140,-1,0.4257092
6,150,-1,0.5650262
6,160,-1,0.33785365
6,170,4,0.21894475
6,180,-1,0.32162815
6,190,-1,0.2281212
6,200,-1,0.2299487
7,10,1,1.06965895
7,20,1,0.67906915
7,30,1,0.6973944
7,40,1,0.72946735
7,50,-1,0.77241535
7,60,1,0.9039452
7,70,-1,0.4884773
7,80,-1,0.50390635
7,90,-1,0.4717564
7,100,-1,0.86213845
7,110,-1,0.8907523
7,120,2,0.92684915
7,130,1,0.49772565
7,140,-1,0.50696565
7,150,1,0.6721591
7,160,-1,0.78794595
7,170,-1,0.56094045
7,180,-1,0.7122664
7,190,-1,0.5042804
7,200,-1,0.5599417
8,10,1,1.39287535
8,20,2,1.31588725
8,30,2,1.42247325
8,40,1,1.5066344
8,50,1,1.171748
8,60,-1,1.5217205
8,70,-1,1.3819195
8,80,3,1.07771515
8,90,-1,1.65046995
8,100,2,1.2780246
8,110,2,1.37069825
8,120,2,1.17418615
8,130,-1,1.34997085
8,140,-1,1.48505095
8,150,-1,1.32735295
8,160,-1,1.68032845
8,170,-1,1.2420372
8,180,4,1.29125245
8,190,2,1.21079725
8,200,-1,1.8860329
9,10,2,3.1495255
9,20,3,2.6448285
9,30,3,3.3586455
9,40,1,2.962078
9,50,-1,3.1135855
9,60,2,3.0837665
9,70,2,2.6097335
9,80,3,3.024142
9,90,3,2.9641505
9,100,2,2.634745
9,110,3,3.213429
9,120,1,3.2159945
9,130,3,3.207356
9,140,-1,3.1199115
9,150,2,2.398447
9,160,3,3.000219
9,170,-1,2.510278
9,180,4,2.55962
9,190,-1,2.623632
9,200,-1,3.264668
10,10,2,6.249107
10,20,2,6.795498
10,30,2,6.704704
10,40,2,7.100992
10,50,2,5.767863
10,60,2,5.8995905
10,70,3,5.879116
10,80,2,6.143876
10,90,3,6.147241
10,100,-1,5.7040975
10,110,-1,6.42493
10,120,-1,5.215171
10,130,2,5.9878175
10,140,-1,5.881412
10,150,-1,5.4481915
10,160,3,5.6784475
10,170,2,6.446575
10,180,-1,6.171186
10,190,-1,6.151559
10,200,-1,6.5687185
11,10,1,12.8899025
11,20,2,12.36079
11,30,2,12.4301915
11,40,3,12.980264
11,50,3,12.743815
11,60,3,15.4305
11,70,3,12.8641335
11,80,2,13.3774135
11,90,2,13.405522
11,100,2,16.399854
11,110,2,12.3042315
11,120,3,13.1007325
11,130,-1,12.331794
11,140,2,13.7285105
11,150,4,13.971478
11,160,2,13.5070135
11,170,2,19.180436
11,180,4,14.261527
11,190,3,13.2751065
11,200,-1,14.0824405
12,10,1,27.62412
12,20,2,27.24192
12,30,2,26.530715
12,40,2,32.723255
12,50,1,26.08283
12,60,2,28.54607
12,70,2,29.326695
12,80,1,30.296575
12,90,2,28.911035
12,100,-1,27.75635
12,110,3,31.02427
12,120,3,26.74013
12,130,3,27.71953
12,140,-1,25.583925
12,150,4,26.38023
12,160,2,27.82172
12,170,-1,27.17195
12,180,2,31.279235
12,190,-1,29.479115
12,200,-1,27.849855
13,10,1,66.14178
13,20,2,59.278345
13,30,1,58.640895
13,40,1,53.58316
13,50,1,61.23907
13,60,2,59.03182
13,70,2,55.134205
13,80,3,72.174
13,90,2,56.059765
13,100,1,50.04579
13,110,3,57.574065
13,120,1,58.065845
13,130,2,60.33648
13,140,3,59.50083
13,150,3,74.28423
13,160,3,54.354625
13,170,-1,62.22023
13,180,4,53.62328
13,190,-1,68.18549
13,200,2,67.465335
14,10,1,105.7805
14,20,2,124.72759
14,30,2,122.27962
14,40,2,131.29771
14,50,1,143.10015
14,60,2,136.497495
14,70,2,146.8354
14,80,2,156.56385
14,90,2,155.6209
14,100,2,173.58246
14,110,3,142.13844
14,120,3,132.627
14,130,2,127.075655
14,140,2,125.52088
14,150,-1,116.22413
14,160,3,128.047745
14,170,2,125.85504
14,180,3,118.041
14,190,3,127.185845
14,200,2,133.853415
15,10,1,303.0105
15,20,2,299.1739
15,30,1,305.32355
15,40,1,185.4399
15,50,2,189.28225
15,60,2,184.92255
15,70,2,188.75225
15,80,2,185.61505
15,90,1,179.1086
15,100,2,178.1271
15,110,3,181.56465
15,120,3,183.04515
15,130,3,182.7395
15,140,2,181.1821
15,150,3,182.8176
15,160,-1,181.1097
15,170,3,186.64655
15,180,3,182.1683
15,190,2,179.9631
15,200,3,180.0599
16,10,2,377.58835
16,20,1,376.59755
16,30,1,377.73445
16,40,2,379.6458
16,50,2,384.79875
16,60,2,381.1226
16,70,2,376.9647
16,80,2,380.19275
16,90,2,388.02835
16,100,2,379.39325
16,110,2,383.4579
16,120,2,380.8965
16,130,3,380.2264
16,140,2,380.4229
16,150,2,381.0011
16,160,2,379.41975
16,170,3,376.2898
16,180,2,373.2143
16,190,3,375.85425
16,200,2,376.6362
17,10,1,790.4067
17,20,2,781.8347
17,30,1,784.03075
17,40,2,784.61795
17,50,1,792.15225
17,60,2,788.83495
17,70,3,790.77075
17,80,2,793.2349
17,90,1,797.8285
17,100,2,802.2308
17,110,2,788.7519
17,120,2,790.62515
17,130,3,790.5928
17,140,-1,800.27415
17,150,2,790.12705
17,160,1,789.5594
17,170,2,786.9431
17,180,2,784.34855
17,190,3,788.1125
17,200,2,791.849
18,10,1,1643.438
18,20,1,1641.1565
18,30,1,1636.3615
18,40,2,1645.98
18,50,1,1648.7445
18,60,2,1643.289
18,70,2,1631.4765
18,80,2,1653.099
18,90,2,1645.302
18,100,1,1642.787
18,110,2,1653.851
18,120,2,1640.024
18,130,-1,1673.731
18,140,3,1661.7685
18,150,3,1670.4775
18,160,3,1658.584
18,170,2,1652.6015
18,180,3,1660.127
18,190,2,1653.285
18,200,2,1659.318
19,10,1,3411.646
19,20,2,3436.15
19,30,1,3408.3815
19,40,1,3417.1895
19,50,1,3410.876
19,60,2,3404.7825
19,70,2,3465.5775
19,80,2,3684.98
19,90,2,3978.348
19,100,2,4215.682
19,110,2,3629.1755
19,120,2,3449.764
19,130,2,3486.332
19,140,2,3422.368
19,150,2,3408.75
19,160,2,3411.883
19,170,2,3417.3705
19,180,1,3411.0305
19,190,2,3391.729
19,200,1,3377.5405
20,10,2,7024.976
20,20,2,7036.269
20,30,2,7018.795
20,40,1,7031.017
20,50,2,7092.983
20,60,2,7045.9
20,70,2,7050.3415
20,80,2,7053.5895
20,90,1,7089.5005
20,100,3,7093.7035
20,110,1,7014.944
20,120,2,7014.4635
20,130,2,7048.942
20,140,2,7076.9945
20,150,2,7065.174
20,160,1,7051.923
20,170,3,7058.6885
20,180,2,7105.0655
20,190,3,7080.686
20,200,2,7118.73
21,10,1,14559.93
21,20,1,14533.075
21,30,2,14699.825
21,40,2,14595.925
21,50,2,14737.43
21,60,2,14602.34
21,70,2,14632.1
21,80,2,14582.895
21,90,2,14656.88
21,100,2,14552.78
21,110,2,14750.315
21,120,2,14942.84
21,130,2,14628.835
21,140,1,14568.615
21,150,1,14554.725
21,160,2,14663.42
21,170,3,14767.275
21,180,2,14662.475
21,190,2,14598.95
21,200,4,14576.165
22,10,1,30313.505
22,20,1,30200.51
22,30,1,30278.34
22,40,2,30314.31
22,50,2,30271.605
22,60,2,30222.725
22,70,1,30463.23
22,80,2,30213.35
22,90,2,30304.78
22,100,2,30190.9
22,110,2,30086.825
22,120,3,30228.295
22,130,2,30374.155
22,140,2,30290.835
22,150,1,30291.75
22,160,1,30200.285
22,170,2,30373.32
22,180,2,30073.18
22,190,2,30544.6
22,200,2,30369.17
23,10,1,62615.185
23,20,1,62475.17
23,30,1,62620.425
23,40,2,62486.03
23,50,1,62477.2
23,60,2,64751.32
23,70,2,63991.715
23,80,2,62390.26
23,90,1,62393.19
23,100,2,62861.31
23,110,2,62491.535
23,120,2,62534.755
23,130,2,62466.955
23,140,2,62463.225
23,150,2,62412.715
23,160,2,62598.235
23,170,3,62419.265
23,180,2,62386.35
23,190,2,62398.325
23,200,3,62618.13
